0022 002c
0000 0024
fee1 febb
00df 0028
07b0 09a9
0a81 1587
0449 1b04
fc33 1b0a
f74f 190d
f414 149e
f1e6 0de4
f0ba 05db
f07e fd8f
f15a f611
f397 f05e
f77a ed39
fd07 ed19
03e2 f014
0b3f f5d1
1200 fd9b
16e4 066b
18dc 0f1d
1755 169a
1268 1c0d
0aee 1f0c
0252 1fa4
fa4d 1e57
f473 1bed
f1dc 1946
f2d3 171f
f6c5 15df
fc67 1586
020b 15a5
0612 158e
075d 147f
059e 11e7
016f 0d94
fc2d 07c7
f7a4 012d
f58b fab9
f70a f56a
fc5f f20e
04b8 f10e
0e64 f251
1727 f54b
1ccd f91f
1db1 fcd9
1934 ffa5
0fec 0102
038d 00d9
f695 ff74
ebb1 fd60
e535 fb3a
e486 f983
e9ce f87c
f3f5 f81a
00d9 f81a
0dcf f819
1829 f7bf
1dd3 f6e1
1dac f592
17bf f41e
0d2a f2ec
ffd6 f260
f211 f2a7
e605 f3a6
dd66 f4f4
d926 f5f6
d96a f607
dda1 f4b7
e4b9 f1f5
ed70 ee2d
f685 ea42
fef7 e75f
0612 e6b7
0b78 e92d
0f0b ef13
10da f7fd
1110 02be
0fe1 0d9d
0d8e 16a4
0a67 1c10
06d0 1cb1
0342 183b
003f 0f64
fe42 03c3
fda7 f78c
fe94 ed15
00f1 e666
0463 e4c0
085e e864
0c43 f083
0f7e fb64
11a8 06d0
129b 107a
1278 1685
119f 17d6
1092 144d
0fd7 0cb8
0fd6 029e
10c1 f7e7
1287 ee6d
14d9 e7a4
173f e45b
1930 e4a8
1a32 e805
19f0 ed7d
184f f3fe
156a fa91
1195 0092
0d43 05b5
08f9 09f7
0532 0d7d
024d 1062
0083 129c
ffdd 13f6
0039 141c
014e 12c8
02ba 0fee
040c 0bdd
04d9 074e
04ca 0349
03ac 00f3
017a 0138
fe66 0484
facd 0a8c
f733 1240
f42f 19fe
f251 1fdf
f207 222f
f38d 1fe0
f6d9 18e2
fb9c 0e34
014b 01c3
0733 f605
0c94 ed66
10bd e9b8
1330 ebbf
13a9 f2fe
122e fdd4
0f0a 09d8
0ab7 1479
05ce 1b90
00eb 1df5
fc96 1bb9
f92e 161c
f6e3 0f37
f5b1 0959
f567 066f
f5bb 0772
f651 0c24
f6d2 131d
f6f8 1a24
f695 1ed3
f59e 1f34
f426 1a55
f25d 1099
f089 03a7
eefd f610
ee0b eaaa
edfc e3e6
ef03 e32c
f12f e887
f469 f2a1
f872 ff0d
fce7 0ae6
0142 136e
04f5 16bd
076f 141c
0841 0c28
072a 0098
